,Content Type,Track Identifier,Title,Sort Name,Artist,Sort Artist,Composer,Is Part of Compilation,Album,Sort Album,Album Artist,Genre,Grouping,Comments,Track Year,Track Number On Album,Track Count On Album,Disc Number Of Album,Disc Count Of Album,Beats Per Minute,Track Duration,Track Play Count,Date Added To Library,Date Added To iCloud Music Library,Last Modified Date,Last Played Date,Rating,Album Rating,Skip Count,Date of Last Skip,Is Purchased,Audio File Extension,Remember Playback Position,Album Like Rating,Track Like Rating,Album Rating Method,Is Checked,Copyright,Work Name,Movement Name,Movement Number,Movement Count,Release Date,Display Work Name,Purchased Track Identifier,Apple Music Track Identifier,Tag Matched Track Identifier,Playlist Only Track,Purchase Date,Sort Album Artist,Audio Matched Track Identifier,Sort Composer
30,Song,182857782,Shelter,,Xavier Rudd,,Xavier Rudd,FALSE,Solace,,,Rock,,,2004,1,14,1,1,,231213,2,2015-02-23T00:22:02Z,2016-10-01T01:34:40Z,2009-05-09T07:21:46Z,2016-03-28T17:41:14Z,0,0,2,,FALSE,m4a,0,,,Calculated,FALSE,,,,,,,,,,,0,,,,
31,Song,182857986,Taxman,,The Beatles,Beatles,,FALSE,Revolver,,,Pop,,,0,1,14,0,0,,159059,6,2015-02-23T00:22:02Z,2016-10-01T01:34:40Z,2005-05-03T01:52:02Z,2016-07-27T22:30:23Z,0,0,0,,FALSE,mp3,0,,,Calculated,FALSE,,,,,,,,,,,0,,,,
32,Song,182857990,Back In The U.S.S.R.,,The Beatles,Beatles,"John Lennon, Paul McCartney",FALSE,The Beatles [White Album] (Disc 1),Beatles [White Album] (Disc 1),,Pop,,,1968,1,17,1,2,,163369,4,2015-02-23T00:22:02Z,2016-10-01T01:34:40Z,2004-07-15T02:47:58Z,2016-08-08T00:30:52Z,0,0,2,,FALSE,mp3,0,,,Calculated,FALSE,,,,,,,,,,,0,,,,
33,Song,182857994,Happiness Is A Warm Gun,,The Beatles,Beatles,John Lennon,FALSE,Anthology 3 [Disc 1],,,Rock,,,1968,2,27,1,2,,134893,5,2015-02-23T00:22:02Z,2016-10-01T01:34:40Z,2009-09-12T22:56:12Z,2016-08-14T21:34:39Z,0,100,0,,FALSE,m4a,0,,,UserSet,FALSE,,,,,,,,,,,0,,,,
34,Song,182857998,That's Amore (That's Love),,Dean Martin,,,FALSE,The Best of Dean Martin (Disc 1),Best of Dean Martin (Disc 1),,Easy Listening,,,1997,2,16,1,3,,187662,2,2015-02-23T00:22:02Z,2016-10-01T01:34:40Z,2005-05-03T23:37:22Z,2016-04-19T18:29:06Z,0,0,4,,FALSE,m4a,0,,,Calculated,FALSE,,,,,,,,,,,0,,,,
35,Song,182858002,Helter Skelter,,The Beatles,Beatles,Paul McCartney,FALSE,Anthology 3 [Disc 1],,,Rock,,,1968,3,27,1,2,,277866,4,2015-02-23T00:22:02Z,2016-10-01T01:34:40Z,2009-09-12T22:55:28Z,2015-09-23T16:44:55Z,0,100,0,,FALSE,m4a,0,,,UserSet,FALSE,,,,,,,,,,,0,,,,
36,Song,182858006,Mean Mr. Mustard,,The Beatles,Beatles,John Lennon,FALSE,Anthology 3 [Disc 1],,,Rock,,,1968,4,27,1,2,,117866,5,2015-02-23T00:22:02Z,2016-10-01T01:34:40Z,2009-09-12T22:55:42Z,2016-07-21T19:05:31Z,0,100,0,,FALSE,m4a,0,,,UserSet,FALSE,,,,,,,,,438327238,,0,,,,
37,Song,182858010,Glass Onion,,The Beatles,Beatles,John Lennon/Paul McCartney,FALSE,Anthology 3 [Disc 1],,,Rock,,,1968,6,27,1,2,,111066,3,2015-02-23T00:22:02Z,2016-10-01T01:34:40Z,2009-09-12T22:55:04Z,2016-07-27T18:33:26Z,0,100,0,,FALSE,m4a,0,,,UserSet,FALSE,,,,,,,,,,,0,,,,
38,Song,182858014,"Hallelujah, I Love Her So",,The Beatles,Beatles,Charles,FALSE,Anthology 1 [Disc 1],,,Rock,,,1960,6,34,1,2,10,73266,8,2015-02-23T00:22:02Z,2016-10-01T01:34:40Z,2009-05-15T17:52:06Z,2016-07-21T19:53:19Z,0,0,0,,FALSE,m4a,0,,,Calculated,FALSE,,,,,,,,,,,0,,,,
39,Song,182858018,Yesterday,,The Beatles,Beatles,"John Lennon/Paul McCartney/Paul McCartney/Lennon , McCartney",FALSE,Anthology 2 [Disc 1],,,Rock,,,1996,7,25,1,2,,153666,2,2015-02-23T00:22:02Z,2016-10-01T01:34:40Z,2009-09-12T23:05:30Z,2015-07-30T01:41:32Z,0,0,0,,FALSE,m4a,0,,,Calculated,FALSE,,,,,,,,,,,0,,,,
40,Song,182858022,It's Only Love,,The Beatles,Beatles,"Lennon , McCartney/John Lennon",FALSE,Anthology 2 [Disc 1],,,Rock,,,1996,8,25,1,2,,118506,6,2015-02-23T00:22:02Z,2016-10-01T01:34:40Z,2009-09-12T23:05:00Z,2016-07-26T00:45:02Z,0,0,0,,FALSE,m4a,0,,,Calculated,FALSE,,,,,,,,,,,0,,,,
41,Song,182858026,I Feel Fine,,The Beatles,Beatles,"John Lennon/John Lennon/Paul McCartney/Lennon , McCartney",FALSE,Anthology 2 [Disc 1],,,Rock,,,1996,9,25,1,2,,135800,2,2015-02-23T00:22:02Z,2016-10-01T01:34:40Z,2009-09-12T23:04:50Z,2015-07-15T03:17:50Z,0,0,0,,FALSE,m4a,0,,,Calculated,FALSE,,,,,,,,,,,0,,,,
42,Song,182858030,Martha My Dear,,The Beatles,Beatles,"John Lennon, Paul McCartney",FALSE,The Beatles [White Album] (Disc 1),Beatles [White Album] (Disc 1),,Pop,,,1968,9,17,1,2,,148793,25,2015-02-23T00:22:02Z,2016-10-01T01:34:40Z,2004-07-15T03:00:44Z,2015-12-15T22:10:09Z,0,0,0,,FALSE,mp3,0,,,Calculated,FALSE,,,,,,,,,,,0,,,,
43,Song,182858034,I'm So Tired,,The Beatles,Beatles,"John Lennon, Paul McCartney",FALSE,The Beatles [White Album] (Disc 1),Beatles [White Album] (Disc 1),,Pop,,,1968,10,17,1,2,,123376,10,2015-02-23T00:22:02Z,2016-10-01T01:34:40Z,2004-07-15T03:01:40Z,2016-08-11T03:21:21Z,0,0,0,,FALSE,mp3,0,,,Calculated,FALSE,,,,,,,,,,,0,,,,
44,Song,182858038,Ticket To Ride,,The Beatles,Beatles,"John Lennon/Paul McCartney/Lennon , McCartney/John Lennon",FALSE,Anthology 2 [Disc 1],,,Rock,,,1996,10,25,1,2,,164533,1,2015-02-23T00:22:02Z,2016-10-01T01:34:40Z,2009-09-12T23:05:16Z,2015-04-12T21:12:53Z,0,0,0,,FALSE,m4a,0,,,Calculated,FALSE,,,,,,,,,438351660,,0,,,,
45,Song,182858242,Ain't She Sweet,,The Beatles,Beatles,Yellen,FALSE,Anthology 1 [Disc 1],,,Rock,,,1961,11,34,1,2,10,133400,7,2015-02-23T00:22:02Z,2016-10-01T01:34:40Z,2009-09-12T22:17:54Z,2016-07-21T01:55:54Z,0,0,2,,FALSE,m4a,0,,,Calculated,FALSE,,,,,,,,,,,0,,,,
